moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Love Actuallyw78wNov 7, 2003w45000000.0w59472278.0w248505300
Jackw79wAug 9, 1996w45000000.0w58617334.0w58617334
The Specialistw80wOct 7, 1994w45000000.0w57362581.0w57362581
Office Christmas Partyw81wDec 9, 2016w45000000.0w54767494.0w91323299
Tin Cupw82wAug 16, 1996w45000000.0w53854588.0w75854588
Yours, Mine and Oursw83wNov 23, 2005w45000000.0w53359917.0w72359917
Kicking and Screamingw84wMay 13, 2005w45000000.0w52842724.0w55842724
The Hitchhiker's Guide to the Galaxyw85wApr 29, 2005w45000000.0w51019112.0w102746214
Resident Evil: Extinctionw86wSep 21, 2007w45000000.0w50648679.0w149871103
Fat Albertw87wDec 25, 2004w45000000.0w48114556.0w48563556
Savagesw88wJul 6, 2012w45000000.0w47323100.0w82513490
The River Wildw89wSep 30, 1994w45000000.0w46815000.0w94215000
Blendedw90wMay 23, 2014w45000000.0w46290741.0w127990741
All Eyez on Mew91wJun 16, 2017w45000000.0w44922302.0w54876855
Last Holidayw92wJan 13, 2006w45000000.0w38399961.0w43343247
16 Blocksw93wMar 3, 2006w45000000.0w36895141.0w65595141
The Indian in the Cupboardw94wJul 14, 1995w45000000.0w35627222.0w35627222
Cellularw95wSep 10, 2004w45000000.0w32003620.0w61475984
The Ant Bullyw96wJul 28, 2006w45000000.0w28142535.0w49610898
Johnny Englishw97wJul 18, 2003w45000000.0w28013509.0w163126676
Dunew98wDec 14, 1984w45000000.0w27447471.0w27447471
Aliens in the Atticw99wJul 31, 2009w45000000.0w25200412.0w59551283
Across the Universew100wSep 14, 2007w45000000.0w24343673.0w29367143
Revolutionary Roadw1wDec 26, 2008w45000000.0w22951340.0w79604820
Babylon A.D.w2wAug 29, 2008w45000000.0w22532572.0w70216497
Frankensteinw3wNov 4, 1994w45000000.0w22006296.0w112006296
The Glimmer Manw4wOct 4, 1996w45000000.0w20404841.0w36404841
Multiplicityw5wJul 17, 1996w45000000.0w20133326.0w20133326
UglyDollsw6wMay 3, 2019w45000000.0w19894664.0w24644664
The Pledgew7wJan 19, 2001w45000000.0w19719930.0w29406132
The Producers: The Movie Musicalw8wDec 16, 2005w45000000.0w19398532.0w32952995
The Phantomw9wJun 7, 1996w45000000.0w17220599.0w17220599
Reboundw10wJul 1, 2005w45000000.0w16809014.0w17492014
The Ghost Writerw11wFeb 19, 2010w45000000.0w15541549.0w65532491
All the Pretty Horsesw12wDec 22, 2000w45000000.0w15527125.0w18120267
Bangkok Dangerousw13wSep 5, 2008w45000000.0w15298133.0w46598133
Nixonw14wDec 20, 1995w45000000.0w13668249.0w34668249
Dreddw15wSep 21, 2012w45000000.0w13414714.0w41467606
The Rum Diaryw16wOct 28, 2011w45000000.0w13109815.0w21544732
Deep Risingw17wJan 30, 1998w45000000.0w11203026.0w11203026
"Welcome to Marwen"w18wDec 21, 2018w45000000.0w10763520.0w12874922
Johnny English Rebornw19wOct 21, 2011w45000000.0w8406711.0w164640401
Miracle at St. Annaw20wSep 26, 2008w45000000.0w7916887.0w9676497
Big Troublew21wApr 5, 2002w45000000.0w7262288.0w8488871
Man cheng jin dai huang jin jiaw22wDec 21, 2006w45000000.0w6566773.0w76904429
Love in the Time of Choleraw23wNov 16, 2007w45000000.0w4617608.0w31077418
Pinocchiow24wDec 25, 2002w45000000.0w3681811.0w31681811
"Shadow Conspiracy"w25wJan 31, 1997w45000000.0w2154540.0w2154540
Foodfight!w26wDec 31, 2012w45000000.0w0.0w73706
Argow27wOct 12, 2012w44500000.0w136025503.0w227140757
The Fugitivew28wAug 6, 1993w44000000.0w183875760.0w353715317
Rambo: First Blood Part IIw29wMay 22, 1985w44000000.0w150415432.0w300400000
Sleepersw30wOct 18, 1996w44000000.0w53300852.0w165600852
Charlie St. Cloudw31wJul 30, 2010w44000000.0w31206263.0w48478084
The Jurorw32wFeb 2, 1996w44000000.0w22730924.0w22730924
"The Interview"w33wFeb 6, 2014w44000000.0w6105175.0w12342632
Heaven's Gatew34wNov 19, 1980w44000000.0w3484331.0w3484523
The Heatw35wJun 28, 2013w43000000.0w159581587.0w229727774
Finding Forresterw36wDec 19, 2000w43000000.0w51768623.0w80013623
28 Daysw37wApr 14, 2000w43000000.0w37035515.0w62063972
Danny the Dogw38wMay 13, 2005w43000000.0w24537621.0w49037621
"The Sweetest Thing"w39wApr 12, 2002w43000000.0w24430272.0w63078756
The Girl in the Spiderâs Webw40wNov 9, 2018w43000000.0w14828555.0w34983342
A Monster Callsw41wJan 6, 2017w43000000.0w3740823.0w46414530
The Mechanicw42wJan 28, 2011w42500000.0w29121498.0w76347393
The Firmw43wJun 30, 1993w42000000.0w158340892.0w270340892
21 Jump Streetw44wMar 16, 2012w42000000.0w138447667.0w202812429
Notting Hillw45wMay 28, 1999w42000000.0w116089678.0w363728085
Chicken Runw46wJun 21, 2000w42000000.0w106793915.0w227793915
Along Came Pollyw47wJan 16, 2004w42000000.0w88073507.0w173044410
Boomerangw48wJul 1, 1992w42000000.0w70052444.0w131052444
BrÃ¼now49wJul 10, 2009w42000000.0w60054530.0w138708527
Cleopatraw50wJun 12, 1963w42000000.0w57000000.0w71000000
Snatchedw51wMay 12, 2017w42000000.0w45852178.0w57852177
Here Comes the Boomw52wOct 12, 2012w42000000.0w45290318.0w73239258
High Crimesw53wApr 5, 2002w42000000.0w41543207.0w63781100
"The Mirror Has Two Faces"w54wNov 15, 1996w42000000.0w41267469.0w41267469
Red Riding Hoodw55wMar 11, 2011w42000000.0w37662162.0w91678442
The Mothman Propheciesw56wJan 25, 2002w42000000.0w35228696.0w56438555
Licence to Killw57wJul 14, 1989w42000000.0w34667015.0w156167015
Holmes & Watsonw58wDec 25, 2018w42000000.0w30568743.0w41926605
One for the Moneyw59wJan 27, 2012w42000000.0w26414527.0w36197221
15 Minutesw60wMar 9, 2001w42000000.0w24375436.0w56331864
Lord of Warw61wSep 16, 2005w42000000.0w24149632.0w60437727
Super Mario Bros.w62wMay 28, 1993w42000000.0w20844907.0w20844907
Herow63wOct 2, 1992w42000000.0w19487173.0w66787173
Man on a Ledgew64wJan 27, 2012w42000000.0w18620000.0w49621440
The Warrior's Wayw65wDec 3, 2010w42000000.0w5666340.0w8514325
McHale's Navyw66wApr 18, 1997w42000000.0w4408420.0w4408420
Micmacsw67wMay 28, 2010w42000000.0w1259693.0w11756922
Les BronzÃ©s 3: amis pour la view68wDec 31, 2006w42000000.0w0.0w83833602
Pourquoi j'ai pas mangÃ© mon pÃ¨rew69wDec 31, 2015w42000000.0w0.0w15451663
8 Milew70wNov 8, 2002w41000000.0w116724075.0w245768384
Rocketmanw71wMay 31, 2019w41000000.0w57342725.0w108642725
A Knightâs Talew72wMay 11, 2001w41000000.0w56083966.0w100622586
The Medallionw73wAug 22, 2003w41000000.0w22108977.0w22108977
The Big Yearw74wOct 14, 2011w41000000.0w7204138.0w7684524
The Sixth Sensew75wAug 6, 1999w40000000.0w293506292.0w672806292
Wedding Crashersw76wJul 15, 2005w40000000.0w209218368.0w283218368
The Karate Kidw77wJun 11, 2010w40000000.0w176591618.0w351774938
Fifty Shades of Greyw78wFeb 13, 2015w40000000.0w166167230.0w570998101
The Proposalw79wJun 19, 2009w40000000.0w163958031.0w314709717
American Hustlew80wDec 13, 2013w40000000.0w150117807.0w257878294
John Wick: Chapter 3 â Parabellumw81wMay 17, 2019w40000000.0w141744320.0w256498033
Cheaper by the Dozenw82wDec 25, 2003w40000000.0w138614544.0w190212113
Lucyw83wJul 25, 2014w40000000.0w126573960.0w457507776
Lone Survivorw84wDec 25, 2013w40000000.0w125095601.0w149804632
Back to the Future Part IIw85wNov 22, 1989w40000000.0w118450002.0w332000000
Double Jeopardyw86wSep 24, 1999w40000000.0w116735231.0w177835231
Spy Kids 3-D: Game Overw87wJul 25, 2003w40000000.0w111760631.0w167851995
A Time to Killw88wJul 24, 1996w40000000.0w108766007.0w152266007
"A League of Their Own"w89wJul 1, 1992w40000000.0w107533925.0w132440066
The Conjuring 2: The Enfield Poltergeistw90wJun 10, 2016w40000000.0w102470008.0w311262102
"The Social Network"w91wOct 1, 2010w40000000.0w96962694.0w224922135
Julie & Juliaw92wAug 7, 2009w40000000.0w94125426.0w126646119
He's Just Not That Into Youw93wFeb 6, 2009w40000000.0w93953653.0w181053657
"John Wick: Chapter Two"w94wFeb 10, 2017w40000000.0w92029184.0w171350009
Ride Along 2w95wJan 15, 2016w40000000.0w90862685.0w124827316
Scary Movie 4w96wApr 14, 2006w40000000.0w90710620.0w178710620
Get Hardw97wMar 27, 2015w40000000.0w90411453.0w106511453
Scream 3w98wFeb 4, 2000w40000000.0w89138076.0w161838076
Back to the Future Part IIIw99wMay 24, 1990w40000000.0w88055283.0w244088654
The Accountantw100wOct 14, 2016w40000000.0w86260045.0w152962083
Dumb and Dumber Tow1wNov 14, 2014w40000000.0w86208010.0w156553592
The Other Womanw2wApr 25, 2014w40000000.0w83911193.0w195111193
Bram Stoker's Draculaw3wNov 13, 1992w40000000.0w82522790.0w215862692
"Eight Below"w4wFeb 17, 2006w40000000.0w81612565.0w120455994
The Talented Mr. Ripleyw5wDec 24, 1999w40000000.0w81292135.0w128792135
The Internw6wSep 25, 2015w40000000.0w75764672.0w197115710
The Last of the Mohicansw7wSep 25, 1992w40000000.0w75505856.0w75505856
Rayw8wOct 29, 2004w40000000.0w75305995.0w124823094
Sin Cityw9wApr 1, 2005w40000000.0w74103820.0w158527918
Bridge of Spiesw10wOct 16, 2015w40000000.0w72313754.0w162498338
Vantage Pointw11wFeb 22, 2008w40000000.0w72266306.0w150886329
I Love You, Manw12wMar 20, 2009w40000000.0w72013010.0w92302502
"Shallow Hal"w13wNov 9, 2001w40000000.0w70836296.0w70836296
JFKw14wDec 20, 1991w40000000.0w70405498.0w205400000
Big Momma's House 2w15wJan 27, 2006w40000000.0w70165972.0w137047376
"The House with a Clock in its Walls"w16wSep 21, 2018w40000000.0w68549695.0w126331750
"Hacksaw Ridge"w17wNov 4, 2016w40000000.0w67209615.0w168904682
The Mexicanw18wMar 2, 2001w40000000.0w66808615.0w145238250
The Final Destinationw19wAug 28, 2009w40000000.0w66477700.0w187384627
17 Againw20wApr 17, 2009w40000000.0w64167069.0w139474906
"Unknown"w21wFeb 18, 2011w40000000.0w63686397.0w136123083
Get Him to the Greekw22wJun 4, 2010w40000000.0w61153526.0w91455875
Gothikaw23wNov 21, 2003w40000000.0w59588068.0w141484812
Behind Enemy Linesw24wNov 30, 2001w40000000.0w58855732.0w58855732
"The Lincoln Lawyer"w25wMar 18, 2011w40000000.0w58009200.0w87145086
Shall We Dance?w26wOct 15, 2004w40000000.0w57887882.0w118097882
Invinciblew27wAug 25, 2006w40000000.0w57806952.0w58501127
Escape From Planet Earthw28wFeb 15, 2013w40000000.0w57012977.0w74156610
Small Soldiersw29wJul 10, 1998w40000000.0w55143823.0w71743823
"Spawn"w30wJul 31, 1997w40000000.0w54979992.0w87949859
Horrible Bosses 2w31wNov 26, 2014w40000000.0w54445357.0w105945357
The Count of Monte Cristow32wJan 25, 2002w40000000.0w54228104.0w75389090
The Prestigew33wOct 20, 2006w40000000.0w53089891.0w104407366
The Lake Housew34wJun 16, 2006w40000000.0w52330111.0w114830111
Predatorsw35wJul 9, 2010w40000000.0w52000688.0w127234389
The Odd Life of Timothy Greenw36wAug 15, 2012w40000000.0w51853450.0w55249159
The Living Daylightsw37wJul 31, 1987w40000000.0w51185000.0w191200000
Apocalyptow38wDec 8, 2006w40000000.0w50866635.0w121032272
Music and Lyricsw39wFeb 14, 2007w40000000.0w50572589.0w146196885
Legal Eaglesw40wJun 18, 1986w40000000.0w49851591.0w49851591
"Secret Window"w41wMar 12, 2004w40000000.0w47958031.0w92111551
The Skeleton Keyw42wAug 12, 2005w40000000.0w47907715.0w92256918
Jersey Boysw43wJun 20, 2014w40000000.0w47047013.0w65282732
Made of Honorw44wMay 2, 2008w40000000.0w46012734.0w106548738
The Rainmakerw45wNov 21, 1997w40000000.0w45916769.0w45916769
Medicine Manw46wFeb 7, 1992w40000000.0w44948240.0w44948240
Amistadw47wDec 12, 1997w40000000.0w44212592.0w58250151
A Million Ways to Die in The Westw48wMay 30, 2014w40000000.0w42720965.0w86778557
Final Destination 5w49wAug 12, 2011w40000000.0w42587643.0w155011165
"Widows"w50wNov 16, 2018w40000000.0w42402632.0w73866088
Fever Pitchw51wApr 8, 2005w40000000.0w42071069.0w50071069
Aliens vs. Predator - Requiemw52wDec 25, 2007w40000000.0w41797066.0w128884494
The Water Horse: Legend of the Deepw53wDec 25, 2007w40000000.0w40412817.0w103429755
Sex Tapew54wJul 18, 2014w40000000.0w38543473.0w126069509
Scream 4w55wApr 15, 2011w40000000.0w38180928.0w95989590
Ri¢hie Ri¢hw56wDec 21, 1994w40000000.0w38087756.0w38087756
"Autumn in New York"w57wAug 11, 2000w40000000.0w37752931.0w90717684
Paulw58wMar 18, 2011w40000000.0w37412945.0w101162106
The Guilt Tripw59wDec 19, 2012w40000000.0w37134215.0w41294674
Colombianaw60wAug 26, 2011w40000000.0w36665854.0w72295262
8MMw61wFeb 26, 1999w40000000.0w36443442.0w96398826
The Commuterw62wJan 12, 2018w40000000.0w36343858.0w101985431
Hanging Upw63wFeb 18, 2000w40000000.0w36037909.0w51867723
The Doorsw64wMar 1, 1991w40000000.0w34416893.0w34416893
Mickey Blue Eyesw65wAug 20, 1999w40000000.0w33864342.0w53864342
"Pay it Forward"w66wOct 20, 2000w40000000.0w33508922.0w55696705
Arthurw67wApr 8, 2011w40000000.0w33035397.0w47787943
Drillbit Taylorw68wMar 21, 2008w40000000.0w32862104.0w49686263
Patriots Dayw69wDec 21, 2016w40000000.0w31886361.0w52837989
Extremely Loud and Incredibly Closew70wDec 25, 2011w40000000.0w31847881.0w55247881
"The Shadow"w71wJul 1, 1994w40000000.0w31835600.0w31835600
Transporter 3w72wNov 26, 2008w40000000.0w31715062.0w107235592
Morning Gloryw73wNov 10, 2010w40000000.0w31011732.0w59795070
Get Rich or Die Tryin'w74wNov 9, 2005w40000000.0w30981850.0w46666955
Long Shotw75wMay 3, 2019w40000000.0w30202860.0w43711031
The Art of Warw76wAug 25, 2000w40000000.0w30199105.0w30199105
Grudge Matchw77wDec 25, 2013w40000000.0w29807260.0w69807260
Bless the Childw78wAug 11, 2000w40000000.0w29374178.0w40435694
Rentw79wNov 23, 2005w40000000.0w29077547.0w31670620
"The Out-of-Towners"w80wApr 2, 1999w40000000.0w28544120.0w28544120
The Nut Job 2: Nutty by Naturew81wAug 11, 2017w40000000.0w28370522.0w57438389
The Island of Dr. Moreauw82wAug 23, 1996w40000000.0w27682712.0w27682712
The Musketeerw83wSep 7, 2001w40000000.0w27053815.0w27053815
Resident Evil: The Final Chapterw84wJan 27, 2017w40000000.0w26844692.0w314101190
The Other Boleyn Girlw85wFeb 29, 2008w40000000.0w26814957.0w78269970
The Housew86wJun 30, 2017w40000000.0w25584504.0w31192425
"Sweet November"w87wFeb 16, 2001w40000000.0w25288103.0w65754228
The Reapingw88wApr 5, 2007w40000000.0w25126214.0w62226214
Season of the Witchw89wJan 7, 2011w40000000.0w24827228.0w91126600
Renaissance Manw90wJun 3, 1994w40000000.0w24172899.0w24172899
Quest for Camelotw91wMay 15, 1998w40000000.0w22772500.0w38172500
City by the Seaw92wSep 6, 2002w40000000.0w22433915.0w22433915
At First Sightw93wJan 15, 1999w40000000.0w22365133.0w22365133
Mechanic: Resurrectionw94wAug 26, 2016w40000000.0w21218403.0w109738840
Torquew95wJan 16, 2004w40000000.0w21176322.0w46176322
Fantastic Mr. Foxw96wNov 13, 2009w40000000.0w21002919.0w47083412
"Showgirls"w97wSep 22, 1995w40000000.0w20350754.0w37750754
City Hallw98wFeb 16, 1996w40000000.0w20278055.0w20278055
Big Miraclew99wFeb 3, 2012w40000000.0w20157300.0w25268680
The Impossiblew100wDec 21, 2012w40000000.0w19019882.0w169590606
A Thousand Wordsw1wMar 9, 2012w40000000.0w18450127.0w20790486
Marie Antoinettew2wOct 20, 2006w40000000.0w15962471.0w60862471
Get Carterw3wOct 6, 2000w40000000.0w14967182.0w19417182
Kiss of Deathw4wApr 21, 1995w40000000.0w14942422.0w14942422
Life, or Something Like Itw5wApr 26, 2002w40000000.0w14448589.0w14448589
Ishtarw6wMay 15, 1987w40000000.0w14375181.0w14375181
Memoirs of an Invisible Manw7wFeb 28, 1992w40000000.0w14358033.0w14358033
Ameliaw8wOct 23, 2009w40000000.0w14279575.0w19756077
Cirque du Freak: The Vampire's Assistantw9wOct 23, 2009w40000000.0w14046595.0w39753957
"New York Minute"w10wMay 7, 2004w40000000.0w14018364.0w21215882
The Deep End of the Oceanw11wMar 12, 1999w40000000.0w13508635.0w13508635
Alfiew12wNov 5, 2004w40000000.0w13395939.0w35195939
FearDotComw13wAug 30, 2002w40000000.0w13208023.0w13208023
Soul Menw14wNov 7, 2008w40000000.0w12082391.0w12345883
The Gunmanw15wMar 20, 2015w40000000.0w10664749.0w18594227
Universal Soldier II: The Returnw16wAug 20, 1999w40000000.0w10447421.0w10717421
Pandorumw17wSep 25, 2009w40000000.0w10330853.0w17033431
Duplexw18wSep 26, 2003w40000000.0w9652000.0w10070651
Paranoiaw19wAug 16, 2013w40000000.0w7388654.0w16340767
Raise the Titanicw20wAug 1, 1980w40000000.0w7000000.0w7000000
Baahubali: The Beginningw21wJul 10, 2015w40000000.0w6738000.0w26736665
The Hurricane Heistw22wMar 9, 2018w40000000.0w6115824.0w30963684
Impostorw23wJan 4, 2002w40000000.0w6114237.0w7974607
Victor Frankensteinw24wNov 25, 2015w40000000.0w5775076.0w31124367
Extreme Opsw25wNov 27, 2002w40000000.0w4835968.0w12624471
Just Visitingw26wApr 6, 2001w40000000.0w4777007.0w16172200
"Snowpiercer"w27wJun 27, 2014w40000000.0w4563029.0w88069880
Sunshinew28wJul 20, 2007w40000000.0w3688560.0w32030610
The Hudsucker Proxyw29wMar 11, 1994w40000000.0w2816518.0w14938149
Billy Lynnâs Long Halftime Walkw30wNov 11, 2016w40000000.0w1738477.0w30230402
Piratesw31wJul 1, 1986w40000000.0w1641825.0w6341825
Delgow32wDec 12, 2008w40000000.0w915840.0w915840
The Hunting Partyw33wSep 7, 2007w40000000.0w876671.0w7729552
Alex Rider: Operation Stormbreakerw34wOct 13, 2006w40000000.0w659210.0w20722450
Red Cliffw35wNov 20, 2009w40000000.0w627047.0w119627047
The Last Shotw36wSep 24, 2004w40000000.0w463730.0w463730
Nomadw37wMar 16, 2007w40000000.0w79123.0w79123
Un monstre Ã Parisw38wApr 16, 2013w40000000.0w0.0w27000381
Kurskw39wJun 21, 2019w40000000.0w0.0w4212799
USS Indianapolis: Men of Couragew40wNov 11, 2016w40000000.0w0.0w1663785
"Dragon Nest Warriors' Dawn"w41wDec 31, 2014w40000000.0w0.0w734423
"The Crow"w42wDec 31, 2018w40000000.0w0.0w0
The Goldfinchw43wSep 13, 2019w40000000.0w0.0w0
"Down Under Cover"w44wDec 31, 2019w40000000.0w0.0w0
The Time Traveler's Wifew45wAug 14, 2009w39000000.0w63414846.0w102332135
Superman IIIw46wJun 17, 1983w39000000.0w59950623.0w59950623
Because I Said Sow47wFeb 2, 2007w39000000.0w42674040.0w69538833
"Frankenweenie"w48wOct 5, 2012w39000000.0w35287788.0w81150788
Sgt. Bilkow49wMar 29, 1996w39000000.0w30356589.0w37956589
Serenityw50wSep 30, 2005w39000000.0w25514517.0w40319440
Shoot 'Em Upw51wSep 7, 2007w39000000.0w12796824.0w26796824
Against the Ropesw52wFeb 20, 2004w39000000.0w5881504.0w6429865
Yi dai zong shiw53wAug 23, 2013w38600000.0w6594959.0w57987299
The Fast and the Furiousw54wJun 22, 2001w38000000.0w144512310.0w206512310
"Sweet Home Alabama"w55wSep 27, 2002w38000000.0w127214072.0w182365114
The Ugly Truthw56wJul 24, 2009w38000000.0w88915214.0w205298907
Spy Kids 2: The Island of Lost Dreamsw57wAug 7, 2002w38000000.0w85846296.0w119721296
Star Trek: Generationsw58wNov 18, 1994w38000000.0w75671262.0w120000000
Captain Underpants: The First Epic Moview59wJun 2, 2017w38000000.0w73921000.0w126577874
Paul Blart: Mall Cop 2w60wApr 17, 2015w38000000.0w71091594.0w107650646
Mouse Huntw61wDec 19, 1997w38000000.0w61894591.0w61894591
Why Him?w62wDec 23, 2016w38000000.0w60323786.0w117425156
Water for Elephantsw63wApr 22, 2011w38000000.0w58709717.0w116809717
"Life as We Know It"w64wOct 8, 2010w38000000.0w53374681.0w105887837
The Hurricanew65wDec 29, 1999w38000000.0w50699241.0w73956241
Riddickw66wSep 6, 2013w38000000.0w42025135.0w94763758
Heartbreakersw67wMar 23, 2001w38000000.0w40334024.0w57753825
Enoughw68wMay 24, 2002w38000000.0w39177215.0w50970660
The 5th Wavew69wJan 22, 2016w38000000.0w34912982.0w111336398
Pushw70wFeb 6, 2009w38000000.0w31811527.0w49678401
Rushw71wSep 20, 2013w38000000.0w26947624.0w98230839
Angel Eyesw72wMay 18, 2001w38000000.0w24044532.0w29544532
Joe Somebodyw73wDec 21, 2001w38000000.0w22770864.0w24515990
The Ninth Gatew74wMar 10, 2000w38000000.0w18653746.0w58394308
Only the Bravew75wOct 20, 2017w38000000.0w18340051.0w24555177
Extreme Measuresw76wSep 27, 1996w38000000.0w17378193.0w17378193
The Thingw77wOct 14, 2011w38000000.0w16999934.0w27573078
Rock Starw78wSep 7, 2001w38000000.0w16991902.0w19317765
White Squallw79wFeb 2, 1996w38000000.0w10229300.0w10229300
City of Emberw80wOct 10, 2008w38000000.0w7873007.0w17831558
"Switchback"w81wOct 31, 1997w38000000.0w6504442.0w6504442
The Sisters Brothersw82wSep 21, 2018w38000000.0w3143056.0w13143056
Texas Rangersw83wNov 30, 2001w38000000.0w623374.0w623374
Virgin Territoryw84wAug 26, 2008w38000000.0w0.0w5473041
The Upsidew85wJan 11, 2019w37500000.0w108235497.0w119024536
What to Expect When You're Expectingw86wMay 18, 2012w37500000.0w41152203.0w88473016
The Masterw87wSep 14, 2012w37500000.0w16247159.0w50647416
The Expressw88wOct 10, 2008w37500000.0w9793406.0w9813309
"Twilight"w89wNov 21, 2008w37000000.0w192769854.0w402280159
We're the Millersw90wAug 7, 2013w37000000.0w150394119.0w267816276
Creedw91wNov 25, 2015w37000000.0w109767581.0w173567581
"The Town"w92wSep 17, 2010w37000000.0w92186262.0w152566881
Dolphin Talew93wSep 23, 2011w37000000.0w72286779.0w96068724
Game Nightw94wFeb 23, 2018w37000000.0w69179066.0w117378084
Burn After Readingw95wSep 12, 2008w37000000.0w60355347.0w168167798
13 Going On 30w96wApr 23, 2004w37000000.0w57139723.0w97658712
Nim's Islandw97wApr 4, 2008w37000000.0w48006762.0w101857425
"How to be Single"w98wFeb 12, 2016w37000000.0w46843513.0w100003780
Cop Outw99wFeb 26, 2010w37000000.0w44875481.0w55909910
The Ritew100wJan 28, 2011w37000000.0w33047633.0w97143987
Space Chimpsw1wJul 18, 2008w37000000.0w30105968.0w67029956
Magnoliaw2wDec 17, 1999w37000000.0w22450975.0w48446802
Alohaw3wMay 29, 2015w37000000.0w21052030.0w25387091
Obitaemyy ostrovw4wDec 31, 2009w36500000.0w0.0w15000000
A Star is Bornw5wOct 5, 2018w36000000.0w215288866.0w433449571
Gnomeo and Julietw6wFeb 11, 2011w36000000.0w99967670.0w193737977
John Qw7wFeb 15, 2002w36000000.0w71026631.0w102226631
Blue Streakw8wSep 17, 1999w36000000.0w68208190.0w117448157
Never Say Never Againw9wOct 7, 1983w36000000.0w55500000.0w160000000
Hot Tub Time Machinew10wMar 26, 2010w36000000.0w50269859.0w65967750
"Breakdown"w11wMay 2, 1997w36000000.0w50159144.0w50159144
Dolphin Tale 2w12wSep 12, 2014w36000000.0w42024533.0w57824533
Collateral Beautyw13wDec 16, 2016w36000000.0w31016021.0w85309093
A Man Apartw14wApr 4, 2003w36000000.0w26500000.0w43797731
Reindeer Gamesw15wFeb 25, 2000w36000000.0w23360779.0w23360779
"Snow Falling on Cedars"w16wDec 24, 1999w36000000.0w14378353.0w14378353
Ghosts of Mississippiw17wDec 20, 1996w36000000.0w13052741.0w13052741
Gattacaw18wOct 24, 1997w36000000.0w12532777.0w12532777
Isn't She Greatw19wJan 28, 2000w36000000.0w2954405.0w2954405
Yip Man 3w20wJan 22, 2016w36000000.0w2679437.0w157300954
There Be Dragonsw21wMay 6, 2011w36000000.0w1069334.0w4020990
Queen of the Desertw22wApr 14, 2017w36000000.0w0.0w1578543
Head of Statew23wMar 28, 2003w35200000.0w37788228.0w38283765
Itw24wSep 8, 2017w35000000.0w327481748.0w697457969
The Hangoverw25wJun 5, 2009w35000000.0w277322503.0w465764086
The Blind Sidew26wNov 20, 2009w35000000.0w255959475.0w305705794
Batmanw27wJun 23, 1989w35000000.0w251188924.0w411348924
"Austin Powers: The Spy Who Shagged Me"w28wJun 10, 1999w35000000.0w206040085.0w312383487
True Gritw29wDec 22, 2010w35000000.0w171243005.0w252276928
Lethal Weapon 3w30wMay 15, 1992w35000000.0w144731527.0w319700000
Rush Hourw31wSep 18, 1998w35000000.0w141186864.0w245300000
Identity Thiefw32wFeb 8, 2013w35000000.0w134506920.0w175361578
The Devil Wears Pradaw33wJun 30, 2006w35000000.0w124740460.0w326073155
Horrible Bossesw34wJul 8, 2011w35000000.0w117538559.0w212417601
Spy Kidsw35wMar 30, 2001w35000000.0w112692062.0w197692062
"Trainwreck"w36wJul 17, 2015w35000000.0w110212700.0w141123897
Saving Mr. Banksw37wDec 13, 2013w35000000.0w83299761.0w114962525
Star Trek: The Motion Picturew38wDec 7, 1979w35000000.0w82258456.0w139000000
21w39wMar 28, 2008w35000000.0w81159365.0w159846429
What Happens in Vegas...w40wMay 9, 2008w35000000.0w80277646.0w218535708
Cape Fearw41wNov 15, 1991w35000000.0w79091969.0w182291969
The English Patientw42wNov 15, 1996w35000000.0w78716374.0w231710008
Hotel for Dogsw43wJan 16, 2009w35000000.0w73178547.0w122357172
Guess Whow44wMar 25, 2005w35000000.0w68915888.0w102115888
This is 40w45wDec 21, 2012w35000000.0w67544505.0w90221182
L.A. Confidentialw46wSep 19, 1997w35000000.0w64604977.0w126204977
Sky Highw47wJul 29, 2005w35000000.0w63939454.0w83109359
In & Outw48wSep 19, 1997w35000000.0w63826569.0w83226569
A Nightmare on Elm Streetw49wApr 30, 2010w35000000.0w63075011.0w117729621
The Cellw50wAug 18, 2000w35000000.0w61280963.0w85911226
Speciesw51wJul 7, 1995w35000000.0w60054449.0w113354449
"The Benchwarmers"w52wApr 7, 2006w35000000.0w59843754.0w65063726
Secretariatw53wOct 8, 2010w35000000.0w59699513.0w60376247
The Man in the Iron Maskw54wMar 13, 1998w35000000.0w56968169.0w56968169
"Friends with Benefits"w55wJul 22, 2011w35000000.0w55802754.0w146595891
Neighbors 2: Sorority Risingw56wMay 20, 2016w35000000.0w55340730.0w108757621
TMNTw57wMar 23, 2007w35000000.0w54149098.0w96096018
Radiow58wOct 24, 2003w35000000.0w52333738.0w53293628
Sicario: Day of the Soldadow59wJun 29, 2018w35000000.0w50065850.0w75885196
Old Dogsw60wNov 25, 2009w35000000.0w49492060.0w95104304
Malcolm Xw61wNov 18, 1992w35000000.0w48169910.0w48169910
Poltergeistw62wMay 22, 2015w35000000.0w47425125.0w95713069
"Goosebumps 2: Haunted Halloween"w63wOct 12, 2018w35000000.0w46697321.0w93291478
12 Strongw64wJan 19, 2018w35000000.0w45819713.0w71118378
"Underworld 3: Rise of the Lycans"w65wJan 23, 2009w35000000.0w45802315.0w89102315
Must Love Dogsw66wJul 29, 2005w35000000.0w43894863.0w58405313
License to Wedw67wJul 3, 2007w35000000.0w43799818.0w70187088
