moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Thor: Ragnarokw82wNov 3, 2017w180000000.0w315058289.0w846980024
The Chronicles of Narnia: The Lion, the Witch and the Wardrobew83wDec 9, 2005w180000000.0w291710957.0w720539572
Maleficentw84wMay 30, 2014w180000000.0w241407328.0w758536735
Fantastic Beasts and Where to Find Themw85wNov 18, 2016w180000000.0w234037575.0w802402853
WALL-Ew86wJun 27, 2008w180000000.0w223808164.0w532508025
Rush Hour 3w87wAug 10, 2007w180000000.0w140125968.0w256585882
The Legend of Tarzanw88wJul 1, 2016w180000000.0w126643061.0w348902025
Hugow89wNov 23, 2011w180000000.0w73864507.0w180047784
Valerian and the City of a Thousand Planetsw90wJul 21, 2017w180000000.0w40479370.0w215098356
Jupiter Ascendingw91wFeb 6, 2015w179000000.0w47482519.0w181982519
Mission: ImpossibleâFalloutw92wJul 27, 2018w178000000.0w220159104.0w787456552
X-Men: Apocalypsew93wMay 27, 2016w178000000.0w155442489.0w542537546
The Megw94wAug 10, 2018w178000000.0w145443742.0w529530715
"Edge of Tomorrow"w95wJun 6, 2014w178000000.0w100206256.0w370541256
Captain Marvelw96wMar 8, 2019w175000000.0w426525952.0w1123061550
The Jungle Bookw97wApr 15, 2016w175000000.0w364001123.0w962854547
Inside Outw98wJun 19, 2015w175000000.0w356461711.0w854235992
Spider-Man: Homecomingw99wJul 7, 2017w175000000.0w334201140.0w880166350
Suicide Squadw100wAug 5, 2016w175000000.0w325100054.0w746059887
Upw1wMay 29, 2009w175000000.0w293004164.0w731463377
Cocow2wNov 22, 2017w175000000.0w209726015.0w798008101
Ralph Breaks The Internetw3wNov 21, 2018w175000000.0w201091711.0w524283695
Monsters vs. Aliensw4wMar 27, 2009w175000000.0w198351526.0w381687380
Cars 3w5wJun 16, 2017w175000000.0w152901115.0w383541369
G.I. Joe: The Rise of Cobraw6wAug 7, 2009w175000000.0w150201498.0w302469017
Wild Wild Westw7wJun 30, 1999w175000000.0w113805681.0w221229335
The Mummy: Tomb of the Dragon Emperorw8wAug 1, 2008w175000000.0w102491776.0w405760225
Evan Almightyw9wJun 22, 2007w175000000.0w100289690.0w174131329
"Waterworld"w10wJul 28, 1995w175000000.0w88246220.0w264246220
"King Arthur: Legend of the Sword"w11wMay 12, 2017w175000000.0w39175066.0w139630336
47 Roninw12wDec 25, 2013w175000000.0w38362475.0w151716815
Jurassic World: Fallen Kingdomw13wJun 22, 2018w170000000.0w417719760.0w1305772799
Guardians of the Galaxyw14wAug 1, 2014w170000000.0w333172112.0w770867516
Iron Man 2w15wMay 7, 2010w170000000.0w312433331.0w621156389
Captain America: The Winter Soldierw16wApr 4, 2014w170000000.0w259746958.0w714401889
"Dawn of the Planet of the Apes"w17wJul 11, 2014w170000000.0w208545589.0w710644566
The Polar Expressw18wNov 10, 2004w170000000.0w187224605.0w311365187
"Snow White and the Huntsman"w19wJun 1, 2012w170000000.0w155136755.0w401021746
Terminator 3: Rise of the Machinesw20wJul 1, 2003w170000000.0w150358296.0w433058296
Van Helsingw21wMay 7, 2004w170000000.0w120150546.0w300150546
Dumbow22wMar 29, 2019w170000000.0w113883318.0w345004422
"Tomorrowland"w23wMay 22, 2015w170000000.0w93436322.0w206627518
Alita: Battle Angelw24wFeb 14, 2019w170000000.0w85710210.0w402976036
Godzilla: King of the Monstersw25wMay 31, 2019w170000000.0w85576941.0w299276941
Alice Through the Looking Glassw26wMay 27, 2016w170000000.0w77042381.0w276928112
Shrek Forever Afterw27wMay 21, 2010w165000000.0w238736787.0w756244673
Doctor Strangew28wNov 4, 2016w165000000.0w232641920.0w676404566
Big Hero 6w29wNov 7, 2014w165000000.0w222527828.0w652127828
"How to Train Your Dragon"w30wMar 26, 2010w165000000.0w217581232.0w494870992
Wreck-It Ralphw31wNov 2, 2012w165000000.0w189412677.0w496511521
Interstellarw32wNov 5, 2014w165000000.0w188017894.0w666379375
Independence Day: Resurgencew33wJun 24, 2016w165000000.0w103144286.0w384169424
"Cowboys and Aliens"w34wJul 29, 2011w163000000.0w100368560.0w176038324
Beauty and the Beastw35wMar 17, 2017w160000000.0w504014165.0w1259199706
Aquamanw36wDec 21, 2018w160000000.0w335061807.0w1146894640
Shrek the Thirdw37wMay 17, 2007w160000000.0w322719944.0w807330936
Inceptionw38wJul 16, 2010w160000000.0w292576195.0w835524642
The Hunger Games: Mockingjay - Part 2w39wNov 20, 2015w160000000.0w281723902.0w648986787
Fast and Furious 6w40wMay 24, 2013w160000000.0w238679850.0w789300444
Godzillaw41wMay 16, 2014w160000000.0w200676069.0w529076069
X-Men: First Classw42wJun 3, 2011w160000000.0w146408305.0w355408305
The Curious Case of Benjamin Buttonw43wDec 25, 2008w160000000.0w127509326.0w329631958
The Sorcerer's Apprenticew44wJul 14, 2010w160000000.0w63150991.0w217986320
Poseidonw45wMay 12, 2006w160000000.0w60674817.0w181674817
Warcraftw46wJun 10, 2016w160000000.0w47225655.0w425522281
"Deepwater Horizon"w47wSep 30, 2016w156000000.0w61433527.0w122603824
"The Chronicles of Narnia: The Voyage of the Dawn Treader"w48wDec 10, 2010w155000000.0w104386950.0w418186950
Terminator: Genisysw49wJul 1, 2015w155000000.0w89760956.0w432150894
Pacific Rim: Uprisingw50wMar 23, 2018w155000000.0w59874525.0w290930148
Alexanderw51wNov 24, 2004w155000000.0w34297191.0w167297191
War for the Planet of the Apesw52wJul 14, 2017w152000000.0w146880162.0w489592267
Pearl Harborw53wMay 25, 2001w151500000.0w198539855.0w449239855
Transformersw54wJul 2, 2007w151000000.0w319246193.0w708272592
Wonder Womanw55wJun 2, 2017w150000000.0w412563408.0w821133378
Frozenw56wNov 22, 2013w150000000.0w400738009.0w1272469910
Zootopiaw57wMar 4, 2016w150000000.0w341268248.0w1019429616
Harry Potter and the Order of the Phoenixw58wJul 11, 2007w150000000.0w292137260.0w943076457
Harry Potter and the Goblet of Firew59wNov 18, 2005w150000000.0w290201752.0w897099794
The Matrix Reloadedw60wMay 15, 2003w150000000.0w281553689.0w738576929
I am Legendw61wDec 14, 2007w150000000.0w256393010.0w585532684
Moanaw62wNov 23, 2016w150000000.0w248757044.0w637517365
Hancockw63wJul 1, 2008w150000000.0w227946274.0w624234272
Charlie and the Chocolate Factoryw64wJul 15, 2005w150000000.0w206459076.0w475825484
Ratatouillew65wJun 29, 2007w150000000.0w206445654.0w626549695
Thor: The Dark Worldw66wNov 8, 2013w150000000.0w206362140.0w644602516
Batman Beginsw67wJun 15, 2005w150000000.0w205343774.0w359142722
Mission: ImpossibleâRogue Nationw68wJul 31, 2015w150000000.0w195042377.0w688858992
Dunkirkw69wJul 21, 2017w150000000.0w190068280.0w499837368
Thorw70wMay 6, 2011w150000000.0w181030624.0w449326618
Madagascar: Escape 2 Africaw71wNov 7, 2008w150000000.0w180174880.0w599680774
X-Men Origins: Wolverinew72wMay 1, 2009w150000000.0w179883157.0w374825760
Night at the Museum: Battle of the Smithsonianw73wMay 22, 2009w150000000.0w177243721.0w402231063
Kung Fu Panda 2w74wMay 26, 2011w150000000.0w165249063.0w664837547
Mad Max: Fury Roadw75wMay 15, 2015w150000000.0w153636354.0w370098020
PokÃ©mon: Detective Pikachuw76wMay 10, 2019w150000000.0w139507806.0w411258433
The Matrix Revolutionsw77wNov 5, 2003w150000000.0w139270910.0w427300260
Ready Player Onew78wMar 29, 2018w150000000.0w137690172.0w579290136
