moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Prince of Persia: Sands of Timew63wMay 28, 2010w$200,000,000w$90,759,676w$336,359,676
Transformers: Dark of the Moonw64wJun 29, 2011w$195,000,000w$352,390,543w$1,123,790,543
The Mummyw65wJun 9, 2017w$195,000,000w$80,101,125w$409,953,905
Jack the Giant Slayerw66wMar 1, 2013w$195,000,000w$65,187,603w$197,687,603
Furious 7w67wApr 3, 2015w$190,000,000w$353,007,020w$1,518,722,794
Star Trek Into Darknessw68wMay 16, 2013w$190,000,000w$228,778,661w$467,381,584
World War Zw69wJun 21, 2013w$190,000,000w$202,359,711w$531,514,650
The Great Gatsbyw70wMay 10, 2013w$190,000,000w$144,840,419w$351,040,419
Disneyâs A Christmas Carolw71wNov 6, 2009w$190,000,000w$137,855,863w$315,709,697
Pacific Rimw72wJul 12, 2013w$190,000,000w$101,802,906w$411,002,906
The Good Dinosaurw73wNov 25, 2015w$187,500,000w$123,087,120w$333,771,037
Iron Manw74wMay 2, 2008w$186,000,000w$318,604,126w$585,171,547
The Dark Knightw75wJul 18, 2008w$185,000,000w$533,720,947w$1,001,996,207
Indiana Jones and the Kingdom of the Crystal Skullw76wMay 22, 2008w$185,000,000w$317,101,119w$786,635,413
Bravew77wJun 22, 2012w$185,000,000w$237,282,182w$554,606,532
Kong: Skull Islandw78wMar 10, 2017w$185,000,000w$168,052,812w$561,072,059
Star Trek Beyondw79wJul 22, 2016w$185,000,000w$158,848,340w$335,802,233
Blade Runner 2049w80wOct 6, 2017w$185,000,000w$92,054,159w$259,357,408
Aladdinw81wMay 24, 2019w$182,000,000w$246,734,314w$619,234,314
Thor: Ragnarokw82wNov 3, 2017w$180,000,000w$315,058,289w$846,980,024
The Chronicles of Narnia: The Lion, the Witch and the Wardrobew83wDec 9, 2005w$180,000,000w$291,710,957w$720,539,572
Maleficentw84wMay 30, 2014w$180,000,000w$241,407,328w$758,536,735
Fantastic Beasts and Where to Find Themw85wNov 18, 2016w$180,000,000w$234,037,575w$802,402,853
WALL-Ew86wJun 27, 2008w$180,000,000w$223,808,164w$532,508,025
Rush Hour 3w87wAug 10, 2007w$180,000,000w$140,125,968w$256,585,882
The Legend of Tarzanw88wJul 1, 2016w$180,000,000w$126,643,061w$348,902,025
Hugow89wNov 23, 2011w$180,000,000w$73,864,507w$180,047,784
Valerian and the City of a Thousand Planetsw90wJul 21, 2017w$180,000,000w$40,479,370w$215,098,356
Jupiter Ascendingw91wFeb 6, 2015w$179,000,000w$47,482,519w$181,982,519
Mission: ImpossibleâFalloutw92wJul 27, 2018w$178,000,000w$220,159,104w$787,456,552
X-Men: Apocalypsew93wMay 27, 2016w$178,000,000w$155,442,489w$542,537,546
The Megw94wAug 10, 2018w$178,000,000w$145,443,742w$529,530,715
"Edge of Tomorrow"w95wJun 6, 2014w$178,000,000w$100,206,256w$370,541,256
Captain Marvelw96wMar 8, 2019w$175,000,000w$426,525,952w$1,123,061,550
The Jungle Bookw97wApr 15, 2016w$175,000,000w$364,001,123w$962,854,547
Inside Outw98wJun 19, 2015w$175,000,000w$356,461,711w$854,235,992
Spider-Man: Homecomingw99wJul 7, 2017w$175,000,000w$334,201,140w$880,166,350
Suicide Squadw100wAug 5, 2016w$175,000,000w$325,100,054w$746,059,887
Upw1wMay 29, 2009w$175,000,000w$293,004,164w$731,463,377
Cocow2wNov 22, 2017w$175,000,000w$209,726,015w$798,008,101
Ralph Breaks The Internetw3wNov 21, 2018w$175,000,000w$201,091,711w$524,283,695
Monsters vs. Aliensw4wMar 27, 2009w$175,000,000w$198,351,526w$381,687,380
Cars 3w5wJun 16, 2017w$175,000,000w$152,901,115w$383,541,369
G.I. Joe: The Rise of Cobraw6wAug 7, 2009w$175,000,000w$150,201,498w$302,469,017
Wild Wild Westw7wJun 30, 1999w$175,000,000w$113,805,681w$221,229,335
The Mummy: Tomb of the Dragon Emperorw8wAug 1, 2008w$175,000,000w$102,491,776w$405,760,225
Evan Almightyw9wJun 22, 2007w$175,000,000w$100,289,690w$174,131,329
"Waterworld"w10wJul 28, 1995w$175,000,000w$88,246,220w$264,246,220
"King Arthur: Legend of the Sword"w11wMay 12, 2017w$175,000,000w$39,175,066w$139,630,336
47 Roninw12wDec 25, 2013w$175,000,000w$38,362,475w$151,716,815
Jurassic World: Fallen Kingdomw13wJun 22, 2018w$170,000,000w$417,719,760w$1,305,772,799
Guardians of the Galaxyw14wAug 1, 2014w$170,000,000w$333,172,112w$770,867,516
Iron Man 2w15wMay 7, 2010w$170,000,000w$312,433,331w$621,156,389
Captain America: The Winter Soldierw16wApr 4, 2014w$170,000,000w$259,746,958w$714,401,889
"Dawn of the Planet of the Apes"w17wJul 11, 2014w$170,000,000w$208,545,589w$710,644,566
The Polar Expressw18wNov 10, 2004w$170,000,000w$187,224,605w$311,365,187
"Snow White and the Huntsman"w19wJun 1, 2012w$170,000,000w$155,136,755w$401,021,746
Terminator 3: Rise of the Machinesw20wJul 1, 2003w$170,000,000w$150,358,296w$433,058,296
Van Helsingw21wMay 7, 2004w$170,000,000w$120,150,546w$300,150,546
Dumbow22wMar 29, 2019w$170,000,000w$113,883,318w$345,004,422
"Tomorrowland"w23wMay 22, 2015w$170,000,000w$93,436,322w$206,627,518
Alita: Battle Angelw24wFeb 14, 2019w$170,000,000w$85,710,210w$402,976,036
Godzilla: King of the Monstersw25wMay 31, 2019w$170,000,000w$85,576,941w$299,276,941
Alice Through the Looking Glassw26wMay 27, 2016w$170,000,000w$77,042,381w$276,928,112
Shrek Forever Afterw27wMay 21, 2010w$165,000,000w$238,736,787w$756,244,673
Doctor Strangew28wNov 4, 2016w$165,000,000w$232,641,920w$676,404,566
Big Hero 6w29wNov 7, 2014w$165,000,000w$222,527,828w$652,127,828
"How to Train Your Dragon"w30wMar 26, 2010w$165,000,000w$217,581,232w$494,870,992
Wreck-It Ralphw31wNov 2, 2012w$165,000,000w$189,412,677w$496,511,521
Interstellarw32wNov 5, 2014w$165,000,000w$188,017,894w$666,379,375
Independence Day: Resurgencew33wJun 24, 2016w$165,000,000w$103,144,286w$384,169,424
"Cowboys and Aliens"w34wJul 29, 2011w$163,000,000w$100,368,560w$176,038,324
Beauty and the Beastw35wMar 17, 2017w$160,000,000w$504,014,165w$1,259,199,706
Aquamanw36wDec 21, 2018w$160,000,000w$335,061,807w$1,146,894,640
Shrek the Thirdw37wMay 17, 2007w$160,000,000w$322,719,944w$807,330,936
Inceptionw38wJul 16, 2010w$160,000,000w$292,576,195w$835,524,642
The Hunger Games: Mockingjay - Part 2w39wNov 20, 2015w$160,000,000w$281,723,902w$648,986,787
Fast and Furious 6w40wMay 24, 2013w$160,000,000w$238,679,850w$789,300,444
Godzillaw41wMay 16, 2014w$160,000,000w$200,676,069w$529,076,069
X-Men: First Classw42wJun 3, 2011w$160,000,000w$146,408,305w$355,408,305
The Curious Case of Benjamin Buttonw43wDec 25, 2008w$160,000,000w$127,509,326w$329,631,958
The Sorcerer's Apprenticew44wJul 14, 2010w$160,000,000w$63,150,991w$217,986,320
Poseidonw45wMay 12, 2006w$160,000,000w$60,674,817w$181,674,817
Warcraftw46wJun 10, 2016w$160,000,000w$47,225,655w$425,522,281
"Deepwater Horizon"w47wSep 30, 2016w$156,000,000w$61,433,527w$122,603,824
"The Chronicles of Narnia: The Voyage of the Dawn Treader"w48wDec 10, 2010w$155,000,000w$104,386,950w$418,186,950
Terminator: Genisysw49wJul 1, 2015w$155,000,000w$89,760,956w$432,150,894
Pacific Rim: Uprisingw50wMar 23, 2018w$155,000,000w$59,874,525w$290,930,148
Alexanderw51wNov 24, 2004w$155,000,000w$34,297,191w$167,297,191
War for the Planet of the Apesw52wJul 14, 2017w$152,000,000w$146,880,162w$489,592,267
Pearl Harborw53wMay 25, 2001w$151,500,000w$198,539,855w$449,239,855
Transformersw54wJul 2, 2007w$151,000,000w$319,246,193w$708,272,592
Wonder Womanw55wJun 2, 2017w$150,000,000w$412,563,408w$821,133,378
Frozenw56wNov 22, 2013w$150,000,000w$400,738,009w$1,272,469,910
Zootopiaw57wMar 4, 2016w$150,000,000w$341,268,248w$1,019,429,616
Harry Potter and the Order of the Phoenixw58wJul 11, 2007w$150,000,000w$292,137,260w$943,076,457
Harry Potter and the Goblet of Firew59wNov 18, 2005w$150,000,000w$290,201,752w$897,099,794
The Matrix Reloadedw60wMay 15, 2003w$150,000,000w$281,553,689w$738,576,929
I am Legendw61wDec 14, 2007w$150,000,000w$256,393,010w$585,532,684
Moanaw62wNov 23, 2016w$150,000,000w$248,757,044w$637,517,365
Hancockw63wJul 1, 2008w$150,000,000w$227,946,274w$624,234,272
Charlie and the Chocolate Factoryw64wJul 15, 2005w$150,000,000w$206,459,076w$475,825,484
Ratatouillew65wJun 29, 2007w$150,000,000w$206,445,654w$626,549,695
Thor: The Dark Worldw66wNov 8, 2013w$150,000,000w$206,362,140w$644,602,516
Batman Beginsw67wJun 15, 2005w$150,000,000w$205,343,774w$359,142,722
Mission: ImpossibleâRogue Nationw68wJul 31, 2015w$150,000,000w$195,042,377w$688,858,992
Dunkirkw69wJul 21, 2017w$150,000,000w$190,068,280w$499,837,368
Thorw70wMay 6, 2011w$150,000,000w$181,030,624w$449,326,618
Madagascar: Escape 2 Africaw71wNov 7, 2008w$150,000,000w$180,174,880w$599,680,774
X-Men Origins: Wolverinew72wMay 1, 2009w$150,000,000w$179,883,157w$374,825,760
Night at the Museum: Battle of the Smithsonianw73wMay 22, 2009w$150,000,000w$177,243,721w$402,231,063
Kung Fu Panda 2w74wMay 26, 2011w$150,000,000w$165,249,063w$664,837,547
Mad Max: Fury Roadw75wMay 15, 2015w$150,000,000w$153,636,354w$370,098,020
PokÃ©mon: Detective Pikachuw76wMay 10, 2019w$150,000,000w$139,507,806w$411,258,433
The Matrix Revolutionsw77wNov 5, 2003w$150,000,000w$139,270,910w$427,300,260
Ready Player Onew78wMar 29, 2018w$150,000,000w$137,690,172w$579,290,136
Chicken Littlew79wNov 4, 2005w$150,000,000w$135,386,665w$310,043,823
Mission: Impossible IIIw80wMay 5, 2006w$150,000,000w$133,501,348w$397,501,348
Angels & Demonsw81wMay 15, 2009w$150,000,000w$133,375,846w$490,875,846
Troyw82wMay 14, 2004w$150,000,000w$133,298,577w$484,161,265
The Last Airbenderw83wJul 1, 2010w$150,000,000w$131,772,187w$319,713,881
Bee Moview84wNov 2, 2007w$150,000,000w$126,631,277w$287,594,577
G-Forcew85wJul 24, 2009w$150,000,000w$119,436,770w$292,817,841
Boltw86wNov 21, 2008w$150,000,000w$114,053,579w$328,015,029
Wrath of the Titansw87wMar 30, 2012w$150,000,000w$83,670,083w$305,270,083
"Beowulf"w88wNov 16, 2007w$150,000,000w$82,280,579w$195,080,579
"Dark Shadows"w89wMay 11, 2012w$150,000,000w$79,727,149w$238,202,668
"White House Down"w90wJun 28, 2013w$150,000,000w$73,103,784w$205,440,387
The Wolfmanw91wFeb 12, 2010w$150,000,000w$62,189,884w$142,634,358
The Great Wallw92wFeb 17, 2017w$150,000,000w$45,157,105w$334,486,852
Panw93wOct 9, 2015w$150,000,000w$35,088,320w$151,525,973
Mars Needs Momsw94wMar 11, 2011w$150,000,000w$21,392,758w$39,549,758
Moonfallw95wDec 31, 2020w$150,000,000w$0w$0
"Flushed Away"w96wNov 3, 2006w$149,000,000w$64,665,672w$179,357,126
Madagascar 3: Europe's Most Wantedw97wJun 8, 2012w$145,000,000w$216,391,482w$746,921,271
Mission: ImpossibleâGhost Protocolw98wDec 16, 2011w$145,000,000w$209,397,903w$694,713,230
"How to Train Your Dragon 2"w99wJun 13, 2014w$145,000,000w$177,002,924w$614,586,270
Tarzanw100wJun 16, 1999w$145,000,000w$171,091,819w$448,191,819
Mr. Peabody & Shermanw1wMar 7, 2014w$145,000,000w$111,506,430w$269,806,430
Rise of the Guardiansw2wNov 21, 2012w$145,000,000w$103,412,758w$306,900,902
Saharaw3wApr 8, 2005w$145,000,000w$68,671,925w$121,671,925
Ghostbustersw4wJul 15, 2016w$144,000,000w$128,350,574w$229,008,658
Die Another Dayw5wNov 22, 2002w$142,000,000w$160,942,139w$431,942,139
Pirates of the Caribbean: The Curse of the Black Pearlw6wJul 9, 2003w$140,000,000w$305,411,224w$634,954,103
Star Trekw7wMay 8, 2009w$140,000,000w$257,730,019w$386,839,614
Armageddonw8wJul 1, 1998w$140,000,000w$201,578,182w$554,600,000
Men in Black 2w9wJul 3, 2002w$140,000,000w$190,418,803w$441,767,803
Captain America: The First Avengerw10wJul 22, 2011w$140,000,000w$176,654,505w$370,569,776
Kung Fu Panda 3w11wJan 29, 2016w$140,000,000w$143,528,619w$517,599,142
Lethal Weapon 4w12wJul 10, 1998w$140,000,000w$130,444,603w$285,400,000
G.I. Joe: Retaliationw13wMar 27, 2013w$140,000,000w$122,523,060w$375,740,705
The Last Samuraiw14wDec 5, 2003w$140,000,000w$111,110,575w$456,810,575
Fun With Dick And Janew15wDec 21, 2005w$140,000,000w$110,550,000w$203,018,919
Exodus: Gods and Kingsw16wDec 12, 2014w$140,000,000w$65,014,513w$268,314,513
The BFGw17wJul 1, 2016w$140,000,000w$55,483,770w$199,646,680
Gods of Egyptw18wFeb 26, 2016w$140,000,000w$31,153,464w$138,836,756
Spider-Manw19wMay 3, 2002w$139,000,000w$403,706,375w$821,706,375
Watchmenw20wMar 6, 2009w$138,000,000w$107,509,799w$186,976,250
Stealthw21wJul 29, 2005w$138,000,000w$32,116,746w$76,416,746
The Incredible Hulkw22wJun 13, 2008w$137,500,000w$134,806,913w$265,573,859
Hulkw23wJun 20, 2003w$137,000,000w$132,177,234w$245,075,434
